EpochTime,Latitude,Longitude,Altitude,Satellite,PDOP,Speed,Heading,AccX,AccY,AccZ,RotX,RotY,RotZ,Pitch,Roll,Temp,Session,Step,CRC,Count,t,dt,gps_distance,speed_gps,speed_error,speed_flag
2026-04-02 17:31:41.800,48.24762344,16.3730278,166.378006,8,2.51999998,0.071,179.0187836,-30,-74,7932,-5,46,-96,2.11551929,-0.62820148,-4896,7,3,56105,43553,1775151101.8,0.5,0.0,0.0,0.071,False
2026-04-02 17:31:42.300,48.24762726,16.3730278,166.5189972,8,2.51999998,0.091,166.2672577,50,-76,7956,-2,54,-98,2.01081324,-0.64631975,-4896,7,3,34117,43554,1775151102.3,0.5,0.4247646201319677,0.8495292402639354,-0.7585292402639354,False
2026-04-02 17:31:42.800,48.24762726,16.37302589,166.6190033,8,2.51999998,0.084,56.97909164,-6,-104,7848,-10,40,-94,1.91924107,-0.70814431,-4880,7,3,30377,43555,1775151102.8,0.5,0.1414280478250071,0.2828560956500142,-0.19885609565001416,False
2026-04-02 17:31:43.300,48.24762726,16.37302589,166.7079926,8,2.50999999,0.001,125.2428589,34,-68,7840,-5,32,-100,1.82553339,-0.70639873,-4896,7,3,57625,43556,1775151103.3,0.5,0.0,0.0,0.001,False
2026-04-02 17:31:43.800,48.24762726,16.37302589,166.7839966,8,2.50999999,0.112,154.1870575,-2,-98,7928,-8,33,-99,1.78083777,-0.74877805,-4896,7,3,56814,43557,1775151103.8,0.5,0.0,0.0,0.112,False
2026-04-02 17:31:44.300,48.24762726,16.37302589,166.7969971,8,2.50999999,0.064,154.1870575,48,-110,7862,-4,44,-114,1.75410283,-0.76569927,-4848,7,3,5115,43558,1775151104.3,0.5,0.0,0.0,0.064,False
2026-04-02 17:31:44.800,48.24762726,16.37302589,166.8370056,8,2.50999999,0.101,79.42952728,56,-70,7910,-11,50,-105,1.6921773,-0.77182591,-4848,7,3,6046,43559,1775151104.8,0.5,0.0,0.0,0.101,False
2026-04-02 17:31:45.300,48.24762726,16.37302399,166.8339996,9,2.49000001,0.035,79.42952728,10,-84,7888,-12,47,-105,1.64840937,-0.80525357,-4624,7,3,34138,43560,1775151105.3,0.5,0.1406875869982242,0.2813751739964484,-0.2463751739964484,False
2026-04-02 17:31:45.800,48.24762726,16.37302399,166.8289948,9,2.49000001,0.044,79.42952728,2,-116,7846,-8,32,-92,1.6087271,-0.83395666,-4848,7,3,7010,43561,1775151105.8,0.5,0.0,0.0,0.044,False
2026-04-02 17:31:46.300,48.24762726,16.37302399,166.7920075,9,2.49000001,0.099,79.42952728,8,-114,7942,-14,43,-96,1.55636477,-0.88290703,-4848,7,3,52471,43562,1775151106.3,0.5,0.0,0.0,0.099,False
